  46.84
 353.00
2260093113
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1988 04 29 12	51004.61	12.16	173.06	0.00	6.09	6.09	805.77
1988 04 30 12	51148.80	0.99	203.43	0.00	4.77	4.77	746.55
1988 05 01 12	51350.21	2.32	267.16	0.00	6.44	6.44	784.37
1988 05 02 12	51494.40	0.21	164.46	0.00	4.88	4.88	696.40
1988 05 03 12	51734.72	0.00	501.52	0.00	5.89	5.89	577.00
1988 05 04 12	51840.00	0.00	532.02	0.00	10.70	10.70	614.78
1988 05 05 12	52080.32	0.00	533.94	0.00	14.10	14.10	655.65
1988 05 06 12	52185.60	0.00	544.00	0.00	14.74	14.74	830.48
1988 05 07 12	52387.01	0.00	570.37	0.00	9.68	9.68	681.71
1988 05 08 12	52531.20	0.00	560.09	0.00	7.39	7.39	519.12
1988 05 09 12	52690.93	0.00	546.30	0.00	11.16	11.16	739.33
1988 05 10 12	52876.80	1.35	496.54	0.00	9.90	9.90	793.52
1988 05 11 12	52993.68	2.80	294.47	0.00	10.37	10.37	1036.37
1988 05 12 12	53221.71	5.71	529.07	0.00	11.35	11.35	944.48
1988 05 13 12	53247.09	0.00	438.25	0.00	12.72	12.72	958.07
1988 05 14 12	53527.91	2.11	444.25	0.00	8.63	8.63	754.56
1988 05 15 12	53568.00	0.00	436.88	0.00	7.76	7.76	568.44
1988 05 16 12	53808.32	0.00	473.72	0.00	13.24	13.24	1026.19
1988 05 17 12	53913.60	8.31	179.43	0.00	13.39	13.39	1369.51
1988 05 18 12	54030.48	1.46	277.00	0.00	11.49	11.49	1122.88
1988 05 19 12	54249.66	0.00	343.27	0.00	13.73	13.73	1243.88
1988 05 20 12	54263.66	0.00	253.49	0.00	15.23	15.23	1466.43
1988 05 21 12	54460.61	0.09	481.00	0.00	18.51	18.51	1643.33
1988 05 22 12	54604.11	0.40	344.91	0.00	19.14	19.14	1621.55
1988 05 23 12	54629.50	0.25	374.15	0.00	17.96	17.96	1478.93
1988 05 24 12	54845.12	2.58	443.02	0.00	15.61	15.61	1155.64
1988 05 25 12	54950.40	7.01	426.83	0.00	7.95	7.95	795.11
1988 05 26 12	54975.09	9.06	159.75	0.00	7.40	7.40	941.90
1988 05 27 12	55190.72	1.04	372.91	0.00	11.25	11.25	1030.06
1988 05 28 12	55295.31	0.00	337.42	0.00	15.93	15.93	1272.63
1988 05 29 12	55300.46	0.00	516.66	0.00	15.14	15.14	1088.18
1988 05 30 12	55455.73	0.00	421.53	0.00	11.63	11.63	935.92
1988 05 31 12	55601.51	3.92	413.08	0.00	13.76	13.76	1165.28
1988 06 01 12	55641.60	0.00	323.32	0.00	7.56	7.56	691.34
1988 06 02 12	55666.30	0.56	321.19	0.00	7.93	7.93	799.42
1988 06 03 12	55801.33	0.12	373.61	0.00	8.99	8.99	755.38
1988 06 04 12	55914.10	0.44	446.05	0.00	12.80	12.80	797.32
1988 06 05 12	55986.51	0.22	243.32	0.00	13.39	13.39	965.31
1988 06 06 12	55991.66	0.15	288.93	0.00	11.46	11.46	965.92
1988 06 07 12	56055.84	0.00	253.03	0.00	8.96	8.96	783.08
1988 06 08 12	56146.93	0.00	290.01	0.00	7.34	7.34	689.24
1988 06 09 12	56227.52	0.11	362.48	0.00	8.03	8.03	702.76
1988 06 10 12	56292.71	0.15	213.02	0.00	9.90	9.90	905.79
1988 06 11 12	56332.11	0.22	472.85	0.00	13.34	13.34	995.59
1988 06 12 12	56332.80	0.35	474.97	0.00	17.70	17.70	1410.33
1988 06 13 12	56337.26	1.74	503.94	0.00	19.91	19.91	1528.01
1988 06 14 12	56357.50	13.74	386.72	0.00	19.16	19.16	1595.66
1988 06 15 12	56401.44	0.04	482.49	0.00	23.15	23.15	2059.18
1988 06 16 12	56449.68	0.44	452.20	0.00	22.48	22.48	1819.44
1988 06 17 12	56492.53	1.51	331.82	0.00	17.43	17.43	1540.02
1988 06 18 12	56492.53	0.00	459.69	0.00	17.40	17.40	1426.83
1988 06 19 12	56492.53	0.68	246.66	0.00	17.42	17.42	1452.42
1988 06 20 12	56534.21	1.87	359.24	0.00	20.37	20.37	1809.74
1988 06 21 12	56534.21	6.34	374.97	0.00	18.54	18.54	1658.95
1988 06 22 12	56492.53	0.00	449.02	0.00	18.83	18.83	1620.40
1988 06 23 12	56492.53	3.81	341.15	0.00	14.82	14.82	1335.72
1988 06 24 12	56449.68	0.10	330.99	0.00	9.74	9.74	858.58
1988 06 25 12	56449.68	2.47	174.90	0.00	12.46	12.46	1129.44
1988 06 26 12	56401.44	13.37	310.90	0.00	13.03	13.03	1296.50
1988 06 27 12	56357.50	0.65	300.07	0.00	12.01	12.01	1179.36
1988 06 28 12	56337.26	0.00	447.22	0.00	14.80	14.80	1288.50
1988 06 29 12	56332.11	20.99	416.08	0.00	14.07	14.07	1293.91
1988 06 30 12	56323.26	6.77	365.73	0.00	13.17	13.17	1189.15
1988 07 01 12	56259.70	23.82	262.72	0.00	13.09	13.09	1308.21
1988 07 02 12	56188.61	2.80	195.56	0.00	11.85	11.85	1244.17
1988 07 03 12	56104.07	1.36	311.11	0.00	14.30	14.30	1307.18
1988 07 04 12	56011.89	1.48	400.54	0.00	19.07	19.07	1450.71
1988 07 05 12	55987.20	0.28	453.35	0.00	21.43	21.43	1726.31
1988 07 06 12	55977.66	0.10	353.00	0.00	22.24	22.24	1925.94
1988 07 07 12	55881.92	0.08	427.80	0.00	23.11	23.11	2075.58
1988 07 08 12	55758.48	5.68	373.10	0.00	25.03	25.03	2408.69
1988 07 09 12	55646.06	4.54	374.07	0.00	26.61	26.61	2559.75
1988 07 10 12	55632.06	6.17	286.74	0.00	25.60	25.60	2399.42
1988 07 11 12	55536.32	8.44	398.47	0.00	24.30	24.30	2344.68
1988 07 12 12	55364.64	12.00	306.15	0.00	21.86	21.86	1957.36
1988 07 13 12	55296.00	0.99	439.69	0.00	18.53	18.53	1553.35
1988 07 14 12	55255.91	2.08	274.25	0.00	18.25	18.25	1683.54
1988 07 15 12	55110.13	3.35	400.30	0.00	15.73	15.73	1390.57
1988 07 16 12	54950.40	2.03	126.04	0.00	12.68	12.68	1202.52
1988 07 17 12	54910.31	1.08	426.36	0.00	17.39	17.39	1591.88
1988 07 18 12	54764.53	0.87	423.72	0.00	20.16	20.16	1724.11
1988 07 19 12	54604.80	11.21	269.14	0.00	19.61	19.61	1763.68
1988 07 20 12	54564.71	0.59	438.23	0.00	19.98	19.98	1632.82
1988 07 21 12	54327.84	0.01	468.01	0.00	19.32	19.32	1422.61
1988 07 22 12	54259.20	0.02	354.17	0.00	18.89	18.89	1720.27
1988 07 23 12	54153.92	0.00	485.99	0.00	21.29	21.29	1582.62
1988 07 24 12	53918.06	0.11	386.87	0.00	20.77	20.77	1852.28
1988 07 25 12	53904.06	0.33	217.00	0.00	18.24	18.24	1662.58
1988 07 26 12	53636.64	3.55	380.77	0.00	19.48	19.48	1770.98
1988 07 27 12	53568.00	1.86	352.33	0.00	19.86	19.86	1890.09
1988 07 28 12	53423.81	1.62	298.29	0.00	20.53	20.53	1943.47
1988 07 29 12	53222.40	0.11	468.99	0.00	22.43	22.43	1878.06
1988 07 30 12	53149.30	0.19	387.24	0.00	22.94	22.94	2171.34
1988 07 31 12	52876.80	0.00	454.23	0.00	22.68	22.68	1952.09
1988 08 01 12	52836.71	0.00	469.93	0.00	20.41	20.41	1631.37
1988 08 02 12	52535.66	0.00	440.97	0.00	20.93	20.93	1784.59
1988 08 03 12	52521.66	5.79	172.48	0.00	18.34	18.34	1610.78
1988 08 04 12	52210.30	25.00	356.21	0.00	22.75	22.75	2279.09
1988 08 05 12	52184.91	4.60	261.79	0.00	23.79	23.79	2421.95
1988 08 06 12	51864.69	9.73	351.58	0.00	24.48	24.48	2507.45
1988 08 07 12	51840.00	17.92	305.98	0.00	23.88	23.88	2384.86
1988 08 08 12	51519.09	2.18	304.80	0.00	22.53	22.53	2142.43
1988 08 09 12	51494.40	0.00	224.11	0.00	21.78	21.78	2146.15
1988 08 10 12	51153.26	1.60	369.15	0.00	23.67	23.67	2243.06
1988 08 11 12	51148.11	0.00	480.58	0.00	21.49	21.49	1771.31
1988 08 12 12	50803.20	0.00	460.57	0.00	21.92	21.92	1907.95
1988 08 13 12	50802.51	1.48	330.43	0.00	20.45	20.45	1987.14
1988 08 14 12	50457.60	5.67	284.12	0.00	16.86	16.86	1669.76
1988 08 15 12	50417.51	23.57	243.19	0.00	15.23	15.23	1613.81
1988 08 16 12	50112.00	7.43	126.00	0.00	15.87	15.87	1679.05
1988 08 17 12	50006.72	0.01	417.45	0.00	17.23	17.23	1563.87
1988 08 18 12	49766.40	1.02	387.84	0.00	14.79	14.79	1234.17
1988 08 19 12	49580.53	0.54	367.33	0.00	12.82	12.82	1041.18
1988 08 20 12	49420.80	0.56	401.61	0.00	12.88	12.88	1035.84
1988 08 21 12	49079.66	0.52	198.08	0.00	10.56	10.56	912.73
1988 08 22 12	49075.20	0.41	272.33	0.00	10.12	10.12	862.25
1988 08 23 12	48729.60	0.00	339.59	0.00	12.41	12.41	995.03
1988 08 24 12	48728.91	0.85	410.30	0.00	13.99	13.99	1082.18
1988 08 25 12	48384.00	17.24	137.52	0.00	10.58	10.58	1189.98
1988 08 26 12	48239.81	2.77	380.61	0.00	16.89	16.89	1645.91
1988 08 27 12	48038.40	0.00	428.06	0.00	18.64	18.64	1660.07
1988 08 28 12	47697.26	7.74	313.18	0.00	18.65	18.65	1719.28
1988 08 29 12	47692.80	1.75	306.38	0.00	18.64	18.64	1744.40
1988 08 30 12	47347.20	2.69	350.75	0.00	15.80	15.80	1393.17
1988 08 31 12	47346.51	0.00	302.49	0.00	14.89	14.89	1213.80
1988 09 01 12	47001.60	0.00	402.52	0.00	14.09	14.09	1144.53
1988 09 02 12	46724.64	1.32	387.99	0.00	16.93	16.93	1414.64
1988 09 03 12	46656.00	1.45	255.29	0.00	15.49	15.49	1434.80
1988 09 04 12	46310.40	0.72	298.33	0.00	12.04	12.04	1236.95
1988 09 05 12	46310.40	18.11	214.28	0.00	14.29	14.29	1446.64
1988 09 06 12	45964.80	0.00	305.05	0.00	9.51	9.51	901.38
1988 09 07 12	45778.93	0.62	326.11	0.00	9.15	9.15	794.44
1988 09 08 12	45619.20	0.00	412.02	0.00	12.86	12.86	1032.50
1988 09 09 12	45273.60	0.00	430.02	0.00	14.82	14.82	1210.19
1988 09 10 12	45273.60	0.17	321.22	0.00	16.97	16.97	1414.93
1988 09 11 12	44928.00	0.00	223.93	0.00	11.33	11.33	985.46
1988 09 12 12	44783.81	0.00	383.98	0.00	10.72	10.72	952.56
1988 09 13 12	44582.40	9.08	185.16	0.00	11.84	11.84	1193.66
1988 09 14 12	44236.80	0.00	247.57	0.00	8.91	8.91	847.68
1988 09 15 12	44236.80	1.77	222.74	0.00	7.87	7.87	816.13
1988 09 16 12	43891.20	0.00	342.44	0.00	8.50	8.50	761.65
1988 09 17 12	43785.92	0.78	194.96	0.00	10.36	10.36	1025.03
1988 09 18 12	43545.60	11.73	119.81	0.00	12.10	12.10	1300.59
1988 09 19 12	43200.00	0.10	230.42	0.00	13.95	13.95	1379.17
1988 09 20 12	43200.00	0.56	354.76	0.00	15.58	15.58	1463.34
1988 09 21 12	42854.40	5.74	154.73	0.00	14.71	14.71	1524.20
1988 09 22 12	42652.99	0.17	318.41	0.00	11.49	11.49	1059.62
1988 09 23 12	42508.80	1.06	119.39	0.00	7.44	7.44	866.87
1988 09 24 12	42163.20	0.00	319.99	0.00	9.40	9.40	854.88
1988 09 25 12	42163.20	0.00	397.76	0.00	8.27	8.27	707.10
1988 09 26 12	41817.60	0.53	207.95	0.00	9.48	9.48	885.83
1988 09 27 12	41616.19	0.44	275.32	0.00	6.36	6.36	714.05
1988 09 28 12	41472.00	3.10	205.59	0.00	8.79	8.79	898.15
1988 09 29 12	41126.40	0.00	381.51	0.00	6.57	6.57	650.09
1988 09 30 12	41126.40	0.00	182.22	0.00	7.98	7.98	724.69
1988 10 01 12	40780.80	1.60	280.75	0.00	14.98	14.98	1438.44
1988 10 02 12	40621.07	1.45	132.57	0.00	18.16	18.16	1794.16
1988 10 03 12	40435.20	16.90	325.83	0.00	10.79	10.79	1037.44
1988 10 04 12	40089.60	0.01	324.01	0.00	6.53	6.53	646.80
1988 10 05 12	40089.60	4.32	76.62	0.00	3.51	3.51	607.24
1988 10 06 12	39744.00	4.05	153.32	0.00	1.95	1.95	568.08
1988 10 07 12	39675.36	0.00	287.96	0.00	3.25	3.25	503.82
1988 10 08 12	39398.40	0.00	270.11	0.00	4.13	4.13	492.27
1988 10 09 12	39053.49	4.98	119.60	0.00	4.31	4.31	631.13
1988 10 10 12	39052.80	0.50	279.00	0.00	6.17	6.17	700.54
1988 10 11 12	38707.20	8.69	220.18	0.00	7.37	7.37	896.75
1988 10 12 12	38707.20	0.18	148.79	0.00	4.51	4.51	647.69
1988 10 13 12	38361.60	1.29	133.00	0.00	2.64	2.64	561.33
1988 10 14 12	38160.19	1.07	164.05	0.00	1.31	1.31	454.56
1988 10 15 12	38016.00	1.00	324.64	0.00	3.15	3.15	532.05
1988 10 16 12	37679.94	0.00	210.87	0.00	4.41	4.41	570.54
1988 10 17 12	37670.40	3.88	147.47	0.00	9.00	9.00	993.64
1988 10 18 12	37324.80	1.80	136.07	0.00	9.96	9.96	1128.69
1988 10 19 12	37320.34	6.19	319.08	0.00	6.68	6.68	786.56
1988 10 20 12	36979.20	0.10	131.86	0.00	2.33	2.33	492.57
1988 10 21 12	36819.47	0.00	324.90	0.00	2.03	2.03	415.41
1988 10 22 12	36633.60	12.63	161.77	0.00	1.68	1.68	524.84
1988 10 23 12	36393.28	15.39	171.53	0.00	5.95	5.95	861.49
1988 10 24 12	36288.00	2.48	110.89	0.00	5.29	5.29	801.67
1988 10 25 12	35982.49	13.22	218.69	0.00	9.22	9.22	981.49
1988 10 26 12	35942.40	0.00	127.55	0.00	5.64	5.64	679.48
1988 10 27 12	35606.34	1.15	258.13	0.00	4.80	4.80	617.14
1988 10 28 12	35596.80	0.83	187.26	0.00	5.17	5.17	627.05
1988 10 29 12	35251.89	2.37	135.46	0.00	4.00	4.00	611.73
1988 10 30 12	35246.74	0.00	138.09	0.00	-0.01	-0.01	359.73
1988 10 31 12	34905.60	0.00	223.49	0.00	-1.24	-1.24	308.53
1988 11 01 12	34880.91	0.48	273.07	0.00	1.02	1.02	431.64
1988 11 02 12	34560.00	30.04	81.69	0.00	4.18	4.18	772.82
1988 11 03 12	34535.31	2.02	63.62	0.00	3.77	3.77	749.35
1988 11 04 12	34215.09	0.03	301.03	0.00	2.37	2.37	524.68
1988 11 05 12	34189.70	0.00	277.13	0.00	6.41	6.41	795.03
1988 11 06 12	33878.34	12.91	152.33	0.00	9.39	9.39	1075.41
1988 11 07 12	33864.34	0.37	281.23	0.00	8.75	8.75	974.36
1988 11 08 12	33563.29	7.51	119.43	0.00	5.77	5.77	777.15
1988 11 09 12	33523.20	4.06	99.86	0.00	3.16	3.16	630.06
1988 11 10 12	33250.70	2.41	206.34	0.00	3.64	3.64	660.07
1988 11 11 12	33177.60	2.39	142.84	0.00	3.92	3.92	642.54
1988 11 12 12	32976.19	0.61	171.01	0.00	-1.69	-1.69	316.14
1988 11 13 12	32832.00	1.82	207.81	0.00	-0.85	-0.85	426.57
1988 11 14 12	32763.35	6.88	119.54	0.00	2.16	2.16	629.25
1988 11 15 12	32495.94	0.19	165.40	0.00	2.10	2.10	563.14
1988 11 16 12	32481.94	4.14	198.14	0.00	0.14	0.14	495.24
1988 11 17 12	32246.08	2.94	129.09	0.00	6.03	6.03	867.37
1988 11 18 12	32140.80	0.15	128.49	0.00	1.57	1.57	454.16
1988 11 19 12	32072.16	0.14	259.85	0.00	-1.85	-1.85	280.59
1988 11 20 12	31835.29	1.91	140.39	0.00	-2.29	-2.29	329.46
1988 11 21 12	31795.20	20.54	115.71	0.00	-1.13	-1.13	506.99
1988 11 22 12	31635.47	0.00	264.46	0.00	-2.79	-2.79	401.93
1988 11 23 12	31489.69	0.00	227.14	0.00	-5.05	-5.05	359.24
1988 11 24 12	31449.60	0.00	263.37	0.00	-6.94	-6.94	266.20
1988 11 25 12	31289.87	0.00	184.71	0.00	-6.93	-6.93	250.40
1988 11 26 12	31144.09	0.00	205.08	0.00	-3.32	-3.32	341.45
1988 11 27 12	31104.00	0.00	94.02	0.00	-0.71	-0.71	441.48
1988 11 28 12	31035.35	7.65	99.31	0.00	2.71	2.71	715.74
1988 11 29 12	30863.68	3.92	136.69	0.00	-0.87	-0.87	471.35
1988 11 30 12	30767.94	0.31	95.80	0.00	-4.66	-4.66	342.08
1988 12 01 12	30753.94	0.08	88.17	0.00	-0.30	-0.30	534.52
1988 12 02 12	30641.53	0.00	124.73	0.00	-3.31	-3.31	392.33
1988 12 03 12	30518.08	1.16	164.24	0.00	-2.03	-2.03	472.88
1988 12 04 12	30422.34	0.29	102.37	0.00	-4.39	-4.39	362.88
1988 12 05 12	30412.80	0.00	157.54	0.00	-11.22	-11.22	177.03
1988 12 06 12	30388.11	0.02	76.15	0.00	-10.12	-10.12	239.08
1988 12 07 12	30295.93	0.18	156.03	0.00	-2.61	-2.61	458.94
1988 12 08 12	30211.40	0.05	169.72	0.00	-5.21	-5.21	295.93
1988 12 09 12	30140.30	0.03	135.09	0.00	-10.43	-10.43	194.35
1988 12 10 12	30076.74	0.20	144.17	0.00	-12.21	-12.21	169.09
1988 12 11 12	30067.89	0.00	197.94	0.00	-18.10	-18.10	93.18
1988 12 12 12	30062.74	0.00	215.69	0.00	-18.10	-18.10	111.65
1988 12 13 12	30042.51	0.02	204.53	0.00	-15.06	-15.06	163.19
1988 12 14 12	29998.56	0.01	65.77	0.00	-6.16	-6.16	356.75
1988 12 15 12	29950.32	10.23	50.23	0.00	-3.66	-3.66	438.82
1988 12 16 12	29950.32	0.00	121.29	0.00	-13.46	-13.46	187.11
1988 12 17 12	29907.47	0.00	211.06	0.00	-19.73	-19.73	103.82
1988 12 18 12	29907.47	0.03	179.73	0.00	-16.44	-16.44	144.69
1988 12 19 12	29865.79	0.47	182.62	0.00	-13.70	-13.70	184.57
1988 12 20 12	29865.79	0.86	123.49	0.00	-7.05	-7.05	340.41
1988 12 21 12	29907.47	0.22	106.28	0.00	1.00	1.00	601.66
1988 12 22 12	29907.47	0.53	177.36	0.00	-9.41	-9.41	227.45
1988 12 23 12	29907.47	1.17	182.44	0.00	-13.58	-13.58	176.21
1988 12 24 12	29950.32	1.03	133.48	0.00	-4.31	-4.31	418.62
1988 12 25 12	29998.56	7.04	65.96	0.00	-1.69	-1.69	505.36
1988 12 26 12	30042.51	0.00	131.37	0.00	-5.83	-5.83	321.45
1988 12 27 12	30062.74	0.04	205.97	0.00	-11.78	-11.78	197.93
1988 12 28 12	30067.20	6.19	145.74	0.00	-4.17	-4.17	429.56
1988 12 29 12	30067.89	0.92	190.94	0.00	-11.30	-11.30	225.94
1988 12 30 12	30107.29	0.00	200.93	0.00	-18.11	-18.11	107.00
1988 12 31 12	30139.89	1.22	114.91	0.00	-11.80	-11.80	213.67
1989 01 01 12	30172.48	0.68	204.99	0.00	-19.83	-19.83	95.61
1989 01 02 12	30253.07	4.35	80.84	0.00	-15.15	-15.15	165.55
1989 01 03 12	30344.16	0.70	118.40	0.00	-11.06	-11.06	234.31
1989 01 04 12	30408.34	0.00	218.80	0.00	-21.83	-21.83	85.10
1989 01 05 12	30413.49	0.00	186.76	0.00	-18.43	-18.43	112.73
1989 01 06 12	30485.90	0.24	232.40	0.00	-19.69	-19.69	102.98
1989 01 07 12	30598.67	3.10	169.28	0.00	-16.93	-16.93	125.55
1989 01 08 12	30733.71	2.78	128.97	0.00	-5.24	-5.24	399.99
1989 01 09 12	30758.40	0.71	115.38	0.00	-7.63	-7.63	277.83
1989 01 10 12	30798.49	0.26	217.55	0.00	-14.86	-14.86	156.61
1989 01 11 12	30944.27	0.44	190.45	0.00	-10.50	-10.50	229.71
1989 01 12 12	31099.54	0.64	135.39	0.00	-16.42	-16.42	169.27
1989 01 13 12	31104.69	1.38	152.52	0.00	-7.31	-7.31	310.22
1989 01 14 12	31209.28	0.00	221.57	0.00	-13.09	-13.09	194.61
1989 01 15 12	31424.91	1.52	105.18	0.00	-5.62	-5.62	378.39
1989 01 16 12	31449.60	0.02	231.33	0.00	-5.90	-5.90	321.92
1989 01 17 12	31554.88	0.50	232.92	0.00	-9.89	-9.89	242.34
1989 01 18 12	31770.51	0.29	195.06	0.00	-5.57	-5.57	346.98
1989 01 19 12	31795.89	5.11	148.49	0.00	-5.71	-5.71	355.94
1989 01 20 12	31939.40	6.38	133.13	0.00	-3.50	-3.50	446.33
1989 01 21 12	32136.34	5.37	240.34	0.00	-12.63	-12.63	221.61
1989 01 22 12	32150.34	0.02	144.19	0.00	-18.25	-18.25	138.52
1989 01 23 12	32369.53	0.00	188.55	0.00	-6.28	-6.28	340.59
1989 01 24 12	32486.40	0.00	245.40	0.00	-7.32	-7.32	325.25
1989 01 25 12	32591.68	1.12	252.47	0.00	-14.82	-14.82	163.24
1989 01 26 12	32832.00	4.22	142.33	0.00	-15.37	-15.37	185.97
1989 01 27 12	32872.09	0.45	253.18	0.00	-9.23	-9.23	254.63
1989 01 28 12	33152.91	0.00	167.10	0.00	-12.21	-12.21	216.13
1989 01 29 12	33178.29	0.13	194.63	0.00	-4.33	-4.33	382.36
1989 01 30 12	33406.32	1.99	151.08	0.00	-5.11	-5.11	378.41
1989 01 31 12	33523.20	0.81	273.95	0.00	-3.02	-3.02	453.62
1989 02 01 12	33709.07	0.48	122.88	0.00	-1.06	-1.06	528.31
1989 02 02 12	33868.80	0.60	122.57	0.00	-17.99	-17.99	122.75
1989 02 03 12	34012.99	5.32	112.37	0.00	-16.70	-16.70	136.11
1989 02 04 12	34214.40	0.00	310.66	0.00	-18.45	-18.45	112.74
1989 02 05 12	34319.68	0.03	293.70	0.00	-22.11	-22.11	88.29
1989 02 06 12	34560.00	0.69	90.96	0.00	-13.64	-13.64	182.83
1989 02 07 12	34665.28	0.23	116.14	0.00	-10.33	-10.33	228.28
1989 02 08 12	34905.60	0.00	155.16	0.00	-8.50	-8.50	267.16
1989 02 09 12	35010.88	0.36	152.95	0.00	-10.39	-10.39	232.13
1989 02 10 12	35251.20	0.01	230.47	0.00	-17.85	-17.85	128.11
1989 02 11 12	35395.39	0.02	171.05	0.00	-9.69	-9.69	243.42
1989 02 12 12	35596.80	0.54	103.52	0.00	-8.62	-8.62	271.76
1989 02 13 12	35825.52	0.00	342.46	0.00	-9.91	-9.91	238.12
1989 02 14 12	35942.40	3.68	167.20	0.00	-4.20	-4.20	414.72
1989 02 15 12	36219.36	2.22	218.87	0.00	-1.54	-1.54	471.95
1989 02 16 12	36288.00	2.51	296.44	0.00	-8.93	-8.93	289.13
1989 02 17 12	36633.60	0.00	287.38	0.00	-21.28	-21.28	77.33
1989 02 18 12	36633.60	0.02	363.80	0.00	-20.11	-20.11	87.28
1989 02 19 12	36979.20	0.28	298.03	0.00	-17.91	-17.91	127.72
1989 02 20 12	37019.29	4.43	202.92	0.00	-8.09	-8.09	290.84
1989 02 21 12	37324.80	7.59	168.85	0.00	-3.06	-3.06	452.01
1989 02 22 12	37468.99	2.02	197.34	0.00	-0.26	-0.26	563.41
1989 02 23 12	37670.40	0.02	362.30	0.00	-8.89	-8.89	259.16
1989 02 24 12	38011.54	0.11	381.41	0.00	-16.69	-16.69	136.12
1989 02 25 12	38016.00	1.61	294.81	0.00	-14.05	-14.05	175.14
1989 02 26 12	38361.60	0.00	201.45	0.00	-10.85	-10.85	223.54
1989 02 27 12	38362.29	0.00	347.65	0.00	-8.59	-8.59	254.31
1989 02 28 12	38707.20	0.00	378.30	0.00	-7.13	-7.13	286.13
1989 03 01 12	38893.07	0.09	143.91	0.00	-5.60	-5.60	310.33
1989 03 02 12	39052.80	0.07	195.21	0.00	-6.74	-6.74	297.58
1989 03 03 12	39398.40	0.02	413.51	0.00	-14.58	-14.58	144.58
1989 03 04 12	39398.40	0.00	408.21	0.00	-17.18	-17.18	128.19
1989 03 05 12	39744.00	6.30	160.37	0.00	-7.48	-7.48	320.97
1989 03 06 12	39784.09	0.14	430.05	0.00	-13.60	-13.60	166.59
1989 03 07 12	40089.60	0.00	480.56	0.00	-22.76	-22.76	75.52
1989 03 08 12	40435.20	0.00	478.15	0.00	-18.87	-18.87	111.14
1989 03 09 12	40435.20	0.00	372.07	0.00	-12.80	-12.80	176.72
1989 03 10 12	40780.80	0.00	480.21	0.00	-8.16	-8.16	265.12
1989 03 11 12	40780.80	0.00	395.22	0.00	-7.10	-7.10	301.73
1989 03 12 12	41126.40	0.00	319.51	0.00	-5.42	-5.42	340.91
1989 03 13 12	41472.00	0.00	492.21	0.00	-13.78	-13.78	180.98
1989 03 14 12	41472.00	1.05	392.02	0.00	-5.10	-5.10	356.13
1989 03 15 12	41817.60	4.42	169.14	0.00	0.46	0.46	591.15
1989 03 16 12	41817.60	0.07	282.15	0.00	-0.86	-0.86	502.96
1989 03 17 12	42163.20	1.03	385.59	0.00	-4.78	-4.78	321.94
1989 03 18 12	42508.80	4.59	153.66	0.00	-7.67	-7.67	279.97
1989 03 19 12	42508.80	0.00	484.68	0.00	-11.36	-11.36	201.56
1989 03 20 12	42854.40	0.72	331.96	0.00	-8.32	-8.32	245.16
1989 03 21 12	42854.40	4.12	164.25	0.00	-3.86	-3.86	410.41
1989 03 22 12	43200.00	0.00	407.51	0.00	-9.73	-9.73	206.48
1989 03 23 12	43545.60	0.00	286.38	0.00	-8.92	-8.92	234.01
1989 03 24 12	43545.60	0.00	464.25	0.00	-3.93	-3.93	345.30
1989 03 25 12	43891.20	0.86	138.49	0.00	-2.50	-2.50	458.09
1989 03 26 12	43891.20	2.21	464.41	0.00	0.50	0.50	535.27
1989 03 27 12	44236.80	0.95	268.16	0.00	0.23	0.23	493.43
1989 03 28 12	44582.40	0.50	344.01	0.00	5.64	5.64	743.02
1989 03 29 12	44582.40	8.61	412.80	0.00	1.62	1.62	590.66
1989 03 30 12	44928.00	1.72	419.93	0.00	-4.72	-4.72	319.99
1989 03 31 12	44928.00	3.34	194.73	0.00	-1.89	-1.89	476.18
1989 04 01 12	45273.60	13.36	135.26	0.00	-2.77	-2.77	451.43
1989 04 02 12	45619.20	0.03	476.73	0.00	-1.36	-1.36	406.42
1989 04 03 12	45619.20	0.34	346.99	0.00	0.66	0.66	477.87
1989 04 04 12	45964.80	3.64	293.99	0.00	2.51	2.51	638.05
1989 04 05 12	45964.80	2.89	360.71	0.00	4.94	4.94	706.08
1989 04 06 12	46310.40	13.23	214.00	0.00	6.64	6.64	848.74
1989 04 07 12	46615.91	4.84	202.12	0.00	5.14	5.14	737.75
1989 04 08 12	46656.00	1.47	427.58	0.00	0.25	0.25	472.54
1989 04 09 12	47001.60	0.00	447.47	0.00	-0.43	-0.43	405.59
1989 04 10 12	47001.60	0.00	296.60	0.00	0.25	0.25	422.39
1989 04 11 12	47347.20	0.09	338.06	0.00	-0.79	-0.79	381.72
1989 04 12 12	47506.93	0.00	401.73	0.00	0.09	0.09	337.73
1989 04 13 12	47692.80	0.00	463.44	0.00	3.30	3.30	412.50
1989 04 14 12	48037.71	0.00	493.30	0.00	2.48	2.48	459.80
1989 04 15 12	48038.40	0.00	344.32	0.00	3.82	3.82	559.94
1989 04 16 12	48384.00	0.81	235.28	0.00	3.56	3.56	625.36
1989 04 17 12	48388.46	0.00	485.37	0.00	4.52	4.52	602.64
1989 04 18 12	48729.60	7.98	177.10	0.00	4.66	4.66	705.53
1989 04 19 12	48931.01	0.00	260.06	0.00	4.01	4.01	612.61
